Onboarding Step,Status*,Step Reason,Who Gets Notified,
New,Never Contacted,,Back End Intake Coordinator (region),
New,Attempting to Contact,,Back End Intake Coordinator (region),
Pending,Pending Assessment,Insurance,Assessment Administrartor (region),
Pending,Pending Assessment,Family Delay,Assessment Administrartor (region),
Pending,Pending Assessment,Other,Assessment Administrartor (region),
Pending,Pending Intake,Diagnosis Needed,Back End Intake Coordinator (region),
Pending,Pending Intake,Insurance,Back End Intake Coordinator (region),
Pending,Pending Intake,Location - Future Site,Back End Intake Coordinator (region),
Eligibility,Sent for Benefits Check,,Back End Intake Coordinator (region),
Eligibility,Benefits Check Complete,,Back End Intake Coordinator (region),
Waitlist,Waitlist,BCBA General Capacity,Assessment Administrartor (region),
Waitlist,Waitlist,BCBA In-Person Required,Assessment Administrartor (region),
Waitlist,Waitlist,Pending Clinic Opening,Assessment Administrartor (region),
Waitlist,Waitlist,Pending Existing Clinic Capacity,Assessment Administrartor (region),
Waitlist,Waitlist,BCBA Credentialing,Assessment Administrartor (region),
Waitlist,Waitlist,BCBA Evening Capacity,Assessment Administrartor (region),
Waitlist,Waitlist,Spanish-Speaking BCBA Req’d,Assessment Administrartor (region),
Waitlist,Pending Disqualification,BCBA General Capacity,Assessment Administrartor (region),
Waitlist,Pending Disqualification,BCBA In-Person Required,Assessment Administrartor (region),
Waitlist,Pending Disqualification,Pending Clinic Opening,Assessment Administrartor (region),
Waitlist,Pending Disqualification,Pending Existing Clinic Capacity,Assessment Administrartor (region),
Assessment,Onboarding Disruption,BCBA General Capacity,Assessment Administrartor (region),
Assessment,Onboarding Disruption,BCBA In-Person Required,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Pending Clinic Opening,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Background Check Issue,Assessment Administrartor (region),
Assessment,Onboarding Disruption,E-Verify Issue,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Waiting on Background,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Waiting on Certification,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Waiting on Documentation,Assessment Administrartor (region),
Assessment,Onboarding Disruption,BCBA Credentialing,Assessment Administrartor (region),
Assessment,Onboarding Disruption,BCBA Evening Capacity,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Spanish-Speaking BCBA Req’d,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Clinic Capacity,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Family Requested Pause,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Clinical Hold,Assessment Administrartor (region),
Assessment,Onboarding Disruption,In Funder Hold,Assessment Administrartor (region),
Assessment,Onboarding Disruption,Pending Technician,Assessment Administrartor (region),
Assessment,Pending Assessment,Insurance,Assessment Administrartor (region),
Assessment,Pending Assessment,Family Delay,Assessment Administrartor (region),
Assessment,Pending Assessment,Other,Assessment Administrartor (region),
Assessment,Treatment Location Confirmation,,Assessment Administrartor (region),
Assessment,Pending Authorization,,Assessment Administrartor (region),
Assessment,Authorization Requested,,Assessment Administrartor (region),
Assessment,Assessment Scheduled,,Assessment Administrartor (region),
Assessment,Assessment In-Progress,,Assessment Administrartor (region),
Assessment,Assessment Complete,,Assessment Administrartor (region),
Assessment,Peer Review,,Assessment Administrartor (region),
Assessment,Pending Parent Signature,,Assessment Administrartor (region),
Assessment,Assessment Submitted,,Assessment Administrartor (region),
Ready for Services,Pending Discharge,Attendance,Scheduler (region),
