Onboarding Step,Status*,Step Reason,Who Gets Notified,addit or spillover
Candidate Found,Never Contacted,,Technician Recruiter (site),
Candidate Found,Contacted,Career Fair/Conference Lead,Technician Recruiter (site),
Candidate Found,Contacted,Interested - Not Scheduled,Technician Recruiter (site),
Interview,Phone Screen Scheduled,1st Reschedule,Technician Recruiter (site),
Interview,Phone Screen Scheduled,2nd Reschedule,Technician Recruiter (site),
Interview,Phone Screen Scheduled,3rd Reschedule,Technician Recruiter (site),
Interview,Phone Screen Scheduled,4th Reschedule,Technician Recruiter (site),
Interview,Phone Screen Scheduled,5th Reschedule,Technician Recruiter (site),
Interview,Phone Screen Scheduled,Pending Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,1st Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,2nd Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,3rd Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,4th Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,5th Reschedule,Technician Recruiter (site),
Interview,Interview Scheduled,Pending Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,1st Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,2nd Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,3rd Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,4th Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,5th Reschedule,Technician Recruiter (site),
Interview,2nd Interview Scheduled,Pending Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,1st Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,2nd Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,3rd Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,4th Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,5th Reschedule,Technician Recruiter (site),
Interview,Interview Disrupted,Pending Reschedule,Technician Recruiter (site),
Offer Letter,Pending Offer Letter,,Technician Recruiter (site),
Offer Letter,Offer Letter Sent,Pending LBA,Technician Recruiter (site),
Onboarding,Onboarding Disruption,BCBA General Capacity,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,BCBA In-Person Required,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Pending Clinic Opening,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Background Check Issue,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,E-Verify Issue,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Waiting on Background,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Waiting on Certification,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Waiting on Documentation,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,BCBA Credentialing,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,BCBA Evening Capacity,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Spanish-Speaking BCBA Req’d,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Clinic Capacity,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Family Requested Pause,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Clinical Hold,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,In Funder Hold,Onboarding Specialist (site),
Onboarding,Onboarding Disruption,Pending Technician,Onboarding Specialist (site),
Onboarding,Pending Onboarding Invitations,Background Check Issue,Onboarding Specialist (site),
Onboarding,Pending Onboarding Invitations,E-Verify Issue,Onboarding Specialist (site),
Onboarding,Pending Onboarding Invitations,Waiting on Background,Onboarding Specialist (site),
Onboarding,Pending Onboarding Invitations,Waiting on Certification,Onboarding Specialist (site),
Onboarding,Pending Onboarding Invitations,Waiting on Documentation,Onboarding Specialist (site),
Onboarding,Onboarding Invitations Sent,Background Check Issue,Onboarding Specialist (site),
Onboarding,Onboarding Invitations Sent,E-Verify Issue,Onboarding Specialist (site),
Onboarding,Onboarding Invitations Sent,Waiting on Background,Onboarding Specialist (site),
Onboarding,Onboarding Invitations Sent,Waiting on Certification,Onboarding Specialist (site),
Onboarding,Onboarding Invitations Sent,Waiting on Documentation,Onboarding Specialist (site),
Onboarding,Documentation Review,Background Check Issue,Onboarding Specialist (site),
Onboarding,Documentation Review,E-Verify Issue,Onboarding Specialist (site),
Onboarding,Documentation Review,Pending LBA,Onboarding Specialist (site),
Onboarding,Documentation Review,Waiting on Background,Onboarding Specialist (site),
Onboarding,Documentation Review,Waiting on Certification,Onboarding Specialist (site),
Onboarding,Documentation Review,Waiting on Documentation,Onboarding Specialist (site),
Onboarding,Credentialing,Background Check Issue,Onboarding Specialist (site),
Onboarding,Credentialing,E-Verify Issue,Onboarding Specialist (site),
Onboarding,Credentialing,Waiting on Background,Onboarding Specialist (site),
Onboarding,Credentialing,Waiting on Certification,Onboarding Specialist (site),
Onboarding,Credentialing,Waiting on Documentation,Onboarding Specialist (site),
Training,In Training,,Operations Training Coordinator (region,Scheduler (region)
Training,In Training,Employee Delay,Operations Training Coordinator (region,
Training,In Training,No Show/Unresponsive,Operations Training Coordinator (region,
Training,Training Disruption,Employee Delay,Operations Training Coordinator (region,
Training,Training Disruption,No Show/Unresponsive,Operations Training Coordinator (region,
Training,Ready For Scheduling,,Operations Training Coordinator (region,Scheduler (region)
Training,Ready for Field Training,,Operations Training Coordinator (region,Scheduler (region)
Training,In Field Training,,Operations Training Coordinator (region,Scheduler (region)
Training,Pending Group Assignment,,Operations Training Coordinator (region,
Training,Assigned to Group,,Operations Training Coordinator (region,
Ready for Client,Pending Client Assignment,Fully Utilized,Scheduler (region),
Ready for Client,Pending Client Assignment,Urgent Restaffing Needed,Scheduler (region),
Ready for Client,Pending Client Assignment,Partially Utilized,Scheduler (region),
Ready for Client,Pending First Session,Fully Utilized,Scheduler (region),
Ready for Client,Pending First Session,Urgent Restaffing Needed,Scheduler (region),
Ready for Client,Pending First Session,Partially Utilized,Scheduler (region),
Active,Currently Treating Patient(s),Fully Utilized,OM (site),
Active,Currently Treating Patient(s),Not Fully utilized,OM (site),
Active,Currently Treating Patient(s),Urgent Restaffing Needed,OM (site),
Active,Not Currently Treating Patient(s),Fully Utilized,OM (site),Scheduler (region)
Active,Not Currently Treating Patient(s),Leave of Absence,OM (site),Scheduler (region)
Active,Not Currently Treating Patient(s),Not Fully utilized,OM (site),Scheduler (region)
